CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Dallas County,Alabama,37196,0.37196
Dallas County,Arkansas,7009,0.07009
Dane County,Wisconsin,546695,5.46695
Daniels County,Montana,1690,0.0169
Danville city,Virginia,40044,0.40044
Dare County,North Carolina,37009,0.37009
Darke County,Ohio,51113,0.51113
Darlington County,South Carolina,66618,0.66618
Dauphin County,Pennsylvania,278299,2.78299
Davidson County,North Carolina,167609,1.67609
Davidson County,Tennessee,694144,6.94144
Davie County,North Carolina,42846,0.42846
Daviess County,Indiana,33351,0.33351
Daviess County,Kentucky,101511,1.01511
Daviess County,Missouri,8278,0.08278
Davis County,Iowa,9000,0.09
Davis County,Utah,355481,3.55481
Davison County,South Dakota,19775,0.19775
Dawes County,Nebraska,8589,0.08589
Dawson County,Georgia,26108,0.26108
Dawson County,Montana,8613,0.08613
Dawson County,Nebraska,23595,0.23595
Dawson County,Texas,12728,0.12728
Day County,South Dakota,5424,0.05424
De Baca County,New Mexico,1748,0.01748
De Soto Parish,Louisiana,27463,0.27463
De Witt County,Illinois,15638,0.15638
Deaf Smith County,Texas,18546,0.18546
Dearborn County,Indiana,49458,0.49458
Decatur County,Georgia,26404,0.26404
Decatur County,Iowa,7870,0.0787
Decatur County,Indiana,26559,0.26559
Decatur County,Kansas,2827,0.02827
Decatur County,Tennessee,11663,0.11663
Deer Lodge County,Montana,9140,0.0914
Defiance County,Ohio,38087,0.38087
DeKalb County,Indiana,43475,0.43475
DeKalb County,Alabama,71513,0.71513
DeKalb County,Georgia,759297,7.59297
DeKalb County,Illinois,104897,1.04897
DeKalb County,Missouri,12547,0.12547
DeKalb County,Tennessee,20490,0.2049
Del Norte County,California,27812,0.27812
Delaware County,Iowa,17011,0.17011
Delaware County,Indiana,114135,1.14135
Delaware County,New York,44135,0.44135
Delaware County,Ohio,209177,2.09177
Delaware County,Oklahoma,43009,0.43009
Delaware County,Pennsylvania,566747,5.66747
Delta County,Texas,5331,0.05331
Delta County,Michigan,35784,0.35784
Delta County,Colorado,31162,0.31162
Denali Borough,Alaska,2097,0.02097
Dent County,Missouri,15573,0.15573
Denton County,Texas,887207,8.87207
Denver County,Colorado,727211,7.27211
Des Moines County,Iowa,38967,0.38967
Deschutes County,Oregon,197692,1.97692
Desha County,Arkansas,11361,0.11361
DeSoto County,Florida,38001,0.38001
DeSoto County,Mississippi,184945,1.84945
Deuel County,Nebraska,1794,0.01794
Deuel County,South Dakota,4351,0.04351
Dewey County,Oklahoma,4891,0.04891
Dewey County,South Dakota,5892,0.05892
DeWitt County,Texas,20160,0.2016
Dickens County,Texas,2211,0.02211
Dickenson County,Virginia,14318,0.14318
Dickey County,North Dakota,4872,0.04872
Dickinson County,Iowa,17258,0.17258
Dickinson County,Kansas,18466,0.18466
Dickinson County,Michigan,25239,0.25239
Dickson County,Tennessee,53948,0.53948
Dillingham Census Area,Alaska,4916,0.04916
Dillon County,South Carolina,30479,0.30479
Dimmit County,Texas,10124,0.10124
Dinwiddie County,Virginia,28544,0.28544
Divide County,North Dakota,2264,0.02264
Dixie County,Florida,16826,0.16826
Dixon County,Nebraska,5636,0.05636
Doddridge County,West Virginia,8448,0.08448
Dodge County,Georgia,20605,0.20605
Dodge County,Minnesota,20934,0.20934
Dodge County,Nebraska,36565,0.36565
Dodge County,Wisconsin,87839,0.87839
Dolores County,Colorado,2055,0.02055
Doniphan County,Kansas,7600,0.076
Donley County,Texas,3278,0.03278
DoÒa Ana County,New Mexico,218195,2.18195
Dooly County,Georgia,13390,0.1339
Door County,Wisconsin,27668,0.27668
Dorchester County,Maryland,31929,0.31929
Dorchester County,South Carolina,162809,1.62809
Dougherty County,Georgia,87956,0.87956
Douglas County,Nebraska,571327,5.71327
Douglas County,Nevada,48905,0.48905
Douglas County,Oregon,110980,1.1098
Douglas County,South Dakota,2921,0.02921
Douglas County,Washington,43429,0.43429
Douglas County,Wisconsin,43150,0.4315
Douglas County,Missouri,13185,0.13185
Douglas County,Minnesota,38141,0.38141
Douglas County,Kansas,122259,1.22259
Douglas County,Illinois,19465,0.19465
Douglas County,Colorado,351154,3.51154
Douglas County,Georgia,146343,1.46343
Drew County,Arkansas,18219,0.18219
Dubois County,Indiana,42736,0.42736
Dubuque County,Iowa,97311,0.97311
Duchesne County,Utah,19938,0.19938
Dukes County,Massachusetts,17332,0.17332
Dundy County,Nebraska,1693,0.01693
Dunklin County,Missouri,29131,0.29131
Dunn County,North Dakota,4424,0.04424
Dunn County,Wisconsin,45368,0.45368
DuPage County,Illinois,922921,9.22921
Duplin County,North Carolina,58741,0.58741
Durham County,North Carolina,321488,3.21488
Dutchess County,New York,294218,2.94218
Duval County,Florida,957755,9.57755
Duval County,Texas,11157,0.11157
Dyer County,Tennessee,37159,0.37159
Eagle County,Colorado,55127,0.55127
Early County,Georgia,10190,0.1019
East Baton Rouge Parish,Louisiana,440059,4.40059
East Carroll Parish,Louisiana,6861,0.06861
East Feliciana Parish,Louisiana,19135,0.19135
Eastland County,Texas,18360,0.1836
Eaton County,Michigan,110268,1.10268
Eau Claire County,Wisconsin,104646,1.04646
Echols County,Georgia,4006,0.04006
Ector County,Texas,166223,1.66223
Eddy County,North Dakota,2287,0.02287
Eddy County,New Mexico,58460,0.5846
Edgar County,Illinois,17161,0.17161
Edgecombe County,North Carolina,51472,0.51472
Edgefield County,South Carolina,27260,0.2726
Edmonson County,Kentucky,12150,0.1215
Edmunds County,South Dakota,3829,0.03829
Edwards County,Illinois,6395,0.06395
Edwards County,Kansas,2798,0.02798
Edwards County,Texas,1932,0.01932
Effingham County,Georgia,64296,0.64296
Effingham County,Illinois,34008,0.34008
El Dorado County,California,192843,1.92843
El Paso County,Colorado,720403,7.20403
El Paso County,Texas,839238,8.39238
Elbert County,Georgia,19194,0.19194
Elbert County,Colorado,26729,0.26729
Elk County,Pennsylvania,29910,0.2991
Elk County,Kansas,2530,0.0253
Elkhart County,Indiana,206341,2.06341
Elko County,Nevada,52778,0.52778
Elliott County,Kentucky,7517,0.07517
Ellis County,Kansas,28553,0.28553
Ellis County,Oklahoma,3859,0.03859
Ellis County,Texas,184826,1.84826
Ellsworth County,Kansas,6102,0.06102
Elmore County,Alabama,81209,0.81209
Elmore County,Idaho,27511,0.27511
Emanuel County,Georgia,22646,0.22646
Emery County,Utah,10012,0.10012
Emmet County,Iowa,9208,0.09208
Emmet County,Michigan,33415,0.33415
Emmons County,North Dakota,3241,0.03241
Emporia city,Virginia,5346,0.05346
Erath County,Texas,42698,0.42698
Erie County,New York,918702,9.18702
Erie County,Ohio,74266,0.74266
Erie County,Pennsylvania,269728,2.69728
Escambia County,Florida,318316,3.18316
Escambia County,Alabama,36633,0.36633
Esmeralda County,Nevada,873,0.00873
Essex County,New Jersey,798975,7.98975
Essex County,New York,36885,0.36885
Essex County,Virginia,10953,0.10953
Essex County,Vermont,6163,0.06163
Essex County,Massachusetts,789034,7.89034
Estill County,Kentucky,14106,0.14106
Etowah County,Alabama,102268,1.02268
Eureka County,Nevada,2029,0.02029
Evangeline Parish,Louisiana,33395,0.33395
Evans County,Georgia,10654,0.10654
Fairbanks North Star Borough,Alaska,96849,0.96849
Fairfax city,Virginia,24019,0.24019
Fairfax County,Virginia,1147532,11.47532
Fairfield County,Connecticut,943332,9.43332
Fairfield County,Ohio,157574,1.57574
Fairfield County,South Carolina,22347,0.22347
Fall River County,South Dakota,6713,0.06713
Fallon County,Montana,2846,0.02846
Falls Church city,Virginia,14617,0.14617
Falls County,Texas,17297,0.17297
Fannin County,Texas,35514,0.35514
Fannin County,Georgia,26188,0.26188
Faribault County,Minnesota,13653,0.13653
Faulk County,South Dakota,2299,0.02299
Faulkner County,Arkansas,126007,1.26007
Fauquier County,Virginia,71222,0.71222
Fayette County,Alabama,16302,0.16302
Fayette County,Georgia,114421,1.14421
Fayette County,Iowa,19650,0.1965
Fayette County,Illinois,21336,0.21336
Fayette County,Indiana,23102,0.23102
Fayette County,Kentucky,323152,3.23152
Fayette County,Ohio,28525,0.28525
Fayette County,Pennsylvania,129274,1.29274
Fayette County,Tennessee,41133,0.41133
Fayette County,Texas,25346,0.25346
Fayette County,West Virginia,42406,0.42406
Fentress County,Tennessee,18523,0.18523
Fergus County,Montana,11050,0.1105
Ferry County,Washington,7627,0.07627
Fillmore County,Minnesota,21067,0.21067
Fillmore County,Nebraska,5462,0.05462
Finney County,Kansas,36467,0.36467
Fisher County,Texas,3830,0.0383
Flagler County,Florida,115081,1.15081
Flathead County,Montana,103806,1.03806
Fleming County,Kentucky,14581,0.14581
Florence County,South Carolina,138293,1.38293
Florence County,Wisconsin,4295,0.04295
Floyd County,Georgia,98498,0.98498
Floyd County,Iowa,15642,0.15642
Floyd County,Indiana,78522,0.78522
Floyd County,Kentucky,35589,0.35589
Floyd County,Texas,5712,0.05712
Floyd County,Virginia,15749,0.15749
Fluvanna County,Virginia,27270,0.2727
Foard County,Texas,1155,0.01155
Fond du Lac County,Wisconsin,103403,1.03403
Ford County,Kansas,33619,0.33619
Ford County,Illinois,12961,0.12961
Forest County,Pennsylvania,7247,0.07247
Forest County,Wisconsin,9004,0.09004
Forrest County,Mississippi,74897,0.74897
Forsyth County,Georgia,244252,2.44252
Forsyth County,North Carolina,382295,3.82295
Fort Bend County,Texas,811688,8.11688
Foster County,North Dakota,3210,0.0321
Fountain County,Indiana,16346,0.16346
Franklin city,Virginia,7967,0.07967
Franklin County,Illinois,38469,0.38469
Franklin County,Indiana,22758,0.22758
Franklin County,Kansas,25544,0.25544
Franklin County,Kentucky,50991,0.50991
Franklin County,Massachusetts,70180,0.7018
Franklin County,Maine,30199,0.30199
Franklin County,Missouri,103967,1.03967
Franklin County,Mississippi,7713,0.07713
Franklin County,North Carolina,69685,0.69685
Franklin County,Nebraska,2979,0.02979
Franklin County,New York,50022,0.50022
Franklin County,Ohio,1316756,13.16756
Franklin County,Pennsylvania,155027,1.55027
Franklin County,Tennessee,42208,0.42208
Franklin County,Texas,10725,0.10725
Franklin County,Virginia,56042,0.56042
Franklin County,Vermont,49402,0.49402
Franklin County,Washington,95222,0.95222
Franklin County,Idaho,13876,0.13876
Franklin County,Iowa,10070,0.1007
Franklin County,Georgia,23349,0.23349
Franklin County,Florida,12125,0.12125
Franklin County,Alabama,31362,0.31362
Franklin County,Arkansas,17715,0.17715
Franklin Parish,Louisiana,20015,0.20015
Frederick County,Maryland,259547,2.59547
Frederick County,Virginia,89313,0.89313
Fredericksburg city,Virginia,29036,0.29036
Freeborn County,Minnesota,30281,0.30281
Freestone County,Texas,19717,0.19717
Fremont County,Colorado,47839,0.47839
Fremont County,Iowa,6960,0.0696
Fremont County,Idaho,13099,0.13099
Fremont County,Wyoming,39261,0.39261
Fresno County,California,999101,9.99101
Frio County,Texas,20306,0.20306
Frontier County,Nebraska,2627,0.02627
Fulton County,Illinois,34340,0.3434
Fulton County,Arkansas,12477,0.12477
Fulton County,Georgia,1063937,10.63937
Fulton County,Indiana,19974,0.19974
Fulton County,Kentucky,5969,0.05969
Fulton County,New York,53383,0.53383
Fulton County,Ohio,42126,0.42126
Fulton County,Pennsylvania,14530,0.1453
Furnas County,Nebraska,4676,0.04676
Gadsden County,Florida,45660,0.4566
Gage County,Nebraska,21513,0.21513
Gaines County,Texas,21492,0.21492
Galax city,Virginia,6347,0.06347
Gallatin County,Montana,114434,1.14434
Gallatin County,Kentucky,8869,0.08869
Gallatin County,Illinois,4828,0.04828
Gallia County,Ohio,29898,0.29898
Galveston County,Texas,342139,3.42139
Garden County,Nebraska,1837,0.01837
Garfield County,Colorado,60061,0.60061
Garfield County,Montana,1258,0.01258
Garfield County,Nebraska,1969,0.01969
Garfield County,Oklahoma,61056,0.61056
Garfield County,Utah,5051,0.05051
Garfield County,Washington,2225,0.02225
Garland County,Arkansas,99386,0.99386
Garrard County,Kentucky,17666,0.17666
Garrett County,Maryland,29014,0.29014
Garvin County,Oklahoma,27711,0.27711
Garza County,Texas,6229,0.06229
Gasconade County,Missouri,14706,0.14706
Gaston County,North Carolina,224529,2.24529
Gates County,North Carolina,11562,0.11562
Geary County,Kansas,31670,0.3167
Geauga County,Ohio,93649,0.93649
Gem County,Idaho,18112,0.18112
Genesee County,Michigan,405813,4.05813
Genesee County,New York,57280,0.5728
Geneva County,Alabama,26271,0.26271
Gentry County,Missouri,6571,0.06571
George County,Mississippi,24500,0.245
Georgetown County,South Carolina,62680,0.6268
Gibson County,Indiana,33659,0.33659
Gibson County,Tennessee,49133,0.49133
Gila County,Arizona,54018,0.54018
Gilchrist County,Florida,18582,0.18582
Giles County,Tennessee,29464,0.29464
Giles County,Virginia,16720,0.1672
Gillespie County,Texas,26988,0.26988
Gilliam County,Oregon,1912,0.01912
Gilmer County,West Virginia,7823,0.07823
Gilmer County,Georgia,31369,0.31369
Gilpin County,Colorado,6243,0.06243
Glacier County,Montana,13753,0.13753
Glades County,Florida,13811,0.13811
Gladwin County,Michigan,25449,0.25449
Glascock County,Georgia,2971,0.02971
Glasscock County,Texas,1409,0.01409
Glenn County,California,28393,0.28393
Gloucester County,New Jersey,291636,2.91636
Gloucester County,Virginia,37348,0.37348
Glynn County,Georgia,85292,0.85292
Gogebic County,Michigan,13975,0.13975
Golden Valley County,North Dakota,1761,0.01761
Golden Valley County,Montana,821,0.00821
Goliad County,Texas,7658,0.07658
Gonzales County,Texas,20837,0.20837
Goochland County,Virginia,23753,0.23753
Goodhue County,Minnesota,46340,0.4634
Gooding County,Idaho,15179,0.15179
Gordon County,Georgia,57963,0.57963
Goshen County,Wyoming,13211,0.13211
Gosper County,Nebraska,1990,0.0199
Gove County,Kansas,2636,0.02636
Grady County,Georgia,24633,0.24633
Grady County,Oklahoma,55834,0.55834
Grafton County,New Hampshire,89886,0.89886
Graham County,Arizona,38837,0.38837
Graham County,Kansas,2482,0.02482
Graham County,North Carolina,8441,0.08441
Grainger County,Tennessee,23320,0.2332
Grand County,Colorado,15734,0.15734
Grand County,Utah,9754,0.09754
Grand Forks County,North Dakota,69451,0.69451
Grand Isle County,Vermont,7235,0.07235
Grand Traverse County,Michigan,93088,0.93088
Granite County,Montana,3379,0.03379
Grant County,Wisconsin,51439,0.51439
Grant County,Minnesota,5972,0.05972
Grant County,North Dakota,2274,0.02274
Grant County,Nebraska,623,0.00623
Grant County,New Mexico,26998,0.26998
Grant County,Oklahoma,4333,0.04333
Grant County,Oregon,7199,0.07199
Grant County,South Dakota,7052,0.07052
Grant County,Washington,97733,0.97733
Grant County,West Virginia,11568,0.11568
Grant County,Kansas,7150,0.0715
Grant County,Kentucky,25069,0.25069
Grant County,Indiana,65769,0.65769
Grant County,Arkansas,18265,0.18265
Grant Parish,Louisiana,22389,0.22389
Granville County,North Carolina,60443,0.60443
Gratiot County,Michigan,40711,0.40711
Graves County,Kentucky,37266,0.37266
Gray County,Kansas,5988,0.05988
Gray County,Texas,21886,0.21886
Grays Harbor County,Washington,75061,0.75061
Grayson County,Kentucky,26427,0.26427
Grayson County,Texas,136212,1.36212
Grayson County,Virginia,15550,0.1555
Greeley County,Nebraska,2356,0.02356
Greeley County,Kansas,1232,0.01232
Green County,Wisconsin,36960,0.3696
Green County,Kentucky,10941,0.10941
Green Lake County,Wisconsin,18913,0.18913
Greenbrier County,West Virginia,34662,0.34662
Greene County,Alabama,8111,0.08111
Greene County,Arkansas,45325,0.45325
Greene County,Georgia,18324,0.18324
Greene County,Iowa,8888,0.08888
Greene County,Illinois,12969,0.12969
Greene County,Indiana,31922,0.31922
Greene County,Missouri,293086,2.93086
Greene County,Mississippi,13586,0.13586
Greene County,North Carolina,21069,0.21069
Greene County,New York,47188,0.47188
Greene County,Ohio,168937,1.68937
Greene County,Pennsylvania,36233,0.36233
Greene County,Tennessee,69069,0.69069
Greene County,Virginia,19819,0.19819
Greenlee County,Arizona,9498,0.09498
Greensville County,Virginia,11336,0.11336
Greenup County,Kentucky,35098,0.35098
Greenville County,South Carolina,523542,5.23542
Greenwood County,Kansas,5982,0.05982
Greenwood County,South Carolina,70811,0.70811
Greer County,Oklahoma,5712,0.05712
Gregg County,Texas,123945,1.23945
Gregory County,South Dakota,4185,0.04185
Grenada County,Mississippi,20758,0.20758
Griggs County,North Dakota,2231,0.02231
Grimes County,Texas,28880,0.2888
Grundy County,Iowa,12232,0.12232
Grundy County,Illinois,51054,0.51054
Grundy County,Missouri,9850,0.0985
Grundy County,Tennessee,13427,0.13427
Guadalupe County,New Mexico,4300,0.043
Guadalupe County,Texas,166847,1.66847
Guernsey County,Ohio,38875,0.38875
Guilford County,North Carolina,537174,5.37174
Gulf County,Florida,13639,0.13639
Gunnison County,Colorado,17462,0.17462
Guthrie County,Iowa,10689,0.10689
Gwinnett County,Georgia,936250,9.3625
Haakon County,South Dakota,1899,0.01899
Habersham County,Georgia,45328,0.45328
Haines Borough,Alaska,2530,0.0253
Hale County,Alabama,14651,0.14651
Hale County,Texas,33406,0.33406
Halifax County,Virginia,33911,0.33911
Halifax County,North Carolina,50010,0.5001
Hall County,Texas,2964,0.02964
Hall County,Nebraska,61353,0.61353
Hall County,Georgia,204441,2.04441
Hamblen County,Tennessee,64934,0.64934
Hamilton County,Florida,14428,0.14428
Hamilton County,Iowa,14773,0.14773
Hamilton County,Illinois,8116,0.08116
Hamilton County,Indiana,338011,3.38011
Hamilton County,Kansas,2539,0.02539
Hamilton County,Nebraska,9324,0.09324
Hamilton County,New York,4416,0.04416
Hamilton County,Ohio,817473,8.17473
Hamilton County,Tennessee,367804,3.67804
Hamilton County,Texas,8461,0.08461
Hamlin County,South Dakota,6164,0.06164
Hampden County,Massachusetts,466372,4.66372
Hampshire County,Massachusetts,160830,1.6083
Hampshire County,West Virginia,23175,0.23175
Hampton city,Virginia,134510,1.3451
Hampton County,South Carolina,19222,0.19222
Hancock County,Ohio,75783,0.75783
Hancock County,Tennessee,6620,0.0662
Hancock County,West Virginia,28810,0.2881
Hancock County,Mississippi,47632,0.47632
Hancock County,Maine,54987,0.54987
Hancock County,Kentucky,8722,0.08722
Hancock County,Indiana,78168,0.78168
Hancock County,Georgia,8457,0.08457
Hancock County,Iowa,10630,0.1063
Hancock County,Illinois,17708,0.17708
Hand County,South Dakota,3191,0.03191
Hanover County,Virginia,107766,1.07766
Hansford County,Texas,5399,0.05399
Hanson County,South Dakota,3453,0.03453
Haralson County,Georgia,29792,0.29792
Hardee County,Florida,26937,0.26937
Hardeman County,Tennessee,25050,0.2505
Hardeman County,Texas,3933,0.03933
Hardin County,Iowa,16846,0.16846
Hardin County,Illinois,3821,0.03821
Hardin County,Kentucky,110958,1.10958
Hardin County,Ohio,31365,0.31365
Hardin County,Tennessee,25652,0.25652
Hardin County,Texas,57602,0.57602
Harding County,New Mexico,625,0.00625
Harding County,South Dakota,1298,0.01298
Hardy County,West Virginia,13776,0.13776
Harford County,Maryland,255441,2.55441
Harlan County,Nebraska,3380,0.0338
Harlan County,Kentucky,26010,0.2601
Harmon County,Oklahoma,2653,0.02653
Harnett County,North Carolina,135976,1.35976
Harney County,Oregon,7393,0.07393
Harper County,Kansas,5436,0.05436
Harper County,Oklahoma,3688,0.03688
Harris County,Georgia,35236,0.35236
Harris County,Texas,4713325,47.13325
Harrison County,Iowa,14049,0.14049
Harrison County,Indiana,40515,0.40515
Harrison County,Kentucky,18886,0.18886
Harrison County,Missouri,8352,0.08352
Harrison County,Mississippi,208080,2.0808
Harrison County,Ohio,15040,0.1504
Harrison County,Texas,66553,0.66553
Harrison County,West Virginia,67256,0.67256
Harrisonburg city,Virginia,53016,0.53016
Hart County,Georgia,26205,0.26205
Hart County,Kentucky,19035,0.19035
Hartford County,Connecticut,891720,8.9172
Hartley County,Texas,5576,0.05576
Harvey County,Kansas,34429,0.34429
Haskell County,Texas,5658,0.05658
Haskell County,Kansas,3968,0.03968
Haskell County,Oklahoma,12627,0.12627
Hawaii County,Hawaii,201513,2.01513
Hawkins County,Tennessee,56786,0.56786
Hayes County,Nebraska,922,0.00922
Hays County,Texas,230191,2.30191
Haywood County,North Carolina,62317,0.62317
Haywood County,Tennessee,17304,0.17304
Heard County,Georgia,11923,0.11923
Hemphill County,Texas,3819,0.03819
Hempstead County,Arkansas,21532,0.21532
Henderson County,North Carolina,117417,1.17417
Henderson County,Illinois,6646,0.06646
Henderson County,Kentucky,45210,0.4521
Henderson County,Tennessee,28117,0.28117
Henderson County,Texas,82737,0.82737
Hendricks County,Indiana,170311,1.70311
Hendry County,Florida,42022,0.42022
Hennepin County,Minnesota,1265843,12.65843
Henrico County,Virginia,330818,3.30818
Henry County,Tennessee,32345,0.32345
Henry County,Virginia,50557,0.50557
Henry County,Ohio,27006,0.27006
Henry County,Missouri,21824,0.21824
Henry County,Kentucky,16126,0.16126
Henry County,Indiana,47972,0.47972
Henry County,Alabama,17205,0.17205
Henry County,Georgia,234561,2.34561
Henry County,Iowa,19954,0.19954
Henry County,Illinois,48913,0.48913
Herkimer County,New York,61319,0.61319
Hernando County,Florida,193920,1.9392
Hertford County,North Carolina,23677,0.23677
Hettinger County,North Dakota,2499,0.02499
Hickman County,Kentucky,4380,0.0438
Hickman County,Tennessee,25178,0.25178
Hickory County,Missouri,9544,0.09544
Hidalgo County,New Mexico,4198,0.04198
Hidalgo County,Texas,868707,8.68707
Highland County,Ohio,43161,0.43161
Highland County,Virginia,2190,0.0219
Highlands County,Florida,106221,1.06221
Hill County,Montana,16484,0.16484
Hill County,Texas,36649,0.36649
Hillsborough County,Florida,1471968,14.71968
Hillsborough County,New Hampshire,417025,4.17025
Hillsdale County,Michigan,45605,0.45605
Hinds County,Mississippi,231840,2.3184
Hinsdale County,Colorado,820,0.0082
Hitchcock County,Nebraska,2762,0.02762
Hocking County,Ohio,28264,0.28264
Hockley County,Texas,23021,0.23021
Hodgeman County,Kansas,1794,0.01794
Hoke County,North Carolina,55234,0.55234
Holmes County,Florida,19617,0.19617
Holmes County,Mississippi,17010,0.1701
Holmes County,Ohio,43960,0.4396
Holt County,Missouri,4403,0.04403
Holt County,Nebraska,10067,0.10067
Honolulu County,Hawaii,974563,9.74563
Hood County,Texas,61643,0.61643
Hood River County,Oregon,23382,0.23382
Hooker County,Nebraska,682,0.00682
Hoonah-Angoon Census Area,Alaska,2148,0.02148
Hopewell city,Virginia,22529,0.22529
Hopkins County,Kentucky,44686,0.44686
Hopkins County,Texas,37084,0.37084
Horry County,South Carolina,354081,3.54081
Hot Spring County,Arkansas,33771,0.33771
Hot Springs County,Wyoming,4413,0.04413
Houghton County,Michigan,35684,0.35684
Houston County,Texas,22968,0.22968
Houston County,Tennessee,8201,0.08201
Houston County,Alabama,105882,1.05882
Houston County,Georgia,157863,1.57863
Houston County,Minnesota,18600,0.186
Howard County,Arkansas,13202,0.13202
Howard County,Indiana,82544,0.82544
Howard County,Maryland,325690,3.2569
Howard County,Missouri,10001,0.10001
Howard County,Nebraska,6445,0.06445
Howard County,Texas,36664,0.36664
Howard County,Iowa,9158,0.09158
Howell County,Missouri,40117,0.40117
Hubbard County,Minnesota,21491,0.21491
Hudson County,New Jersey,672391,6.72391
Hudspeth County,Texas,4886,0.04886
Huerfano County,Colorado,6897,0.06897
Hughes County,Oklahoma,13279,0.13279
Hughes County,South Dakota,17526,0.17526
Humboldt County,California,135558,1.35558
Humboldt County,Iowa,9558,0.09558
Humboldt County,Nevada,16831,0.16831
Humphreys County,Mississippi,8064,0.08064
Humphreys County,Tennessee,18582,0.18582
Hunt County,Texas,98594,0.98594
Hunterdon County,New Jersey,124371,1.24371
Huntingdon County,Pennsylvania,45144,0.45144
Huntington County,Indiana,36520,0.3652
Huron County,Michigan,30981,0.30981
Huron County,Ohio,58266,0.58266
Hutchinson County,South Dakota,7291,0.07291
Hutchinson County,Texas,20938,0.20938
Hyde County,North Carolina,4937,0.04937
Hyde County,South Dakota,1301,0.01301
Iberia Parish,Louisiana,69830,0.6983
Iberville Parish,Louisiana,32511,0.32511
Ida County,Iowa,6860,0.0686
Idaho County,Idaho,16667,0.16667
Imperial County,California,181215,1.81215
Independence County,Arkansas,37825,0.37825
Indian River County,Florida,159923,1.59923
Indiana County,Pennsylvania,84073,0.84073
Ingham County,Michigan,292406,2.92406
Inyo County,California,18039,0.18039
Ionia County,Michigan,64697,0.64697
Iosco County,Michigan,25127,0.25127
Iowa County,Iowa,16184,0.16184
Iowa County,Wisconsin,23678,0.23678
Iredell County,North Carolina,181806,1.81806
Irion County,Texas,1536,0.01536
Iron County,Wisconsin,5687,0.05687
Iron County,Utah,54839,0.54839
Iron County,Michigan,11066,0.11066
Iron County,Missouri,10125,0.10125
Iroquois County,Illinois,27114,0.27114
Irwin County,Georgia,9416,0.09416
Isabella County,Michigan,69872,0.69872
Isanti County,Minnesota,40596,0.40596
Island County,Washington,85141,0.85141
Isle of Wight County,Virginia,37109,0.37109
Issaquena County,Mississippi,1327,0.01327
Itasca County,Minnesota,45130,0.4513
Itawamba County,Mississippi,23390,0.2339
Izard County,Arkansas,13629,0.13629
Jack County,Texas,8935,0.08935
Jackson County,Alabama,51626,0.51626
Jackson County,Arkansas,16719,0.16719
Jackson County,Colorado,1392,0.01392
Jackson County,Florida,46414,0.46414
Jackson County,Georgia,72977,0.72977
Jackson County,Iowa,19439,0.19439
Jackson County,Illinois,56750,0.5675
Jackson County,Indiana,44231,0.44231
Jackson County,Kansas,13171,0.13171
Jackson County,Kentucky,13329,0.13329
Jackson County,Michigan,158510,1.5851
Jackson County,Minnesota,9846,0.09846
Jackson County,Mississippi,143617,1.43617
Jackson County,North Carolina,43938,0.43938
Jackson County,Ohio,32413,0.32413
Jackson County,Oklahoma,24530,0.2453
Jackson County,Oregon,220944,2.20944
Jackson County,South Dakota,3344,0.03344
Jackson County,Tennessee,11786,0.11786
Jackson County,Texas,14760,0.1476
Jackson County,Wisconsin,20643,0.20643
Jackson County,West Virginia,28576,0.28576
Jackson County,Missouri,703011,7.03011
Jackson Parish,Louisiana,15744,0.15744
James City County,Virginia,76523,0.76523
Jasper County,Georgia,14219,0.14219
Jasper County,Iowa,37185,0.37185
Jasper County,Illinois,9610,0.0961
Jasper County,Indiana,33562,0.33562
Jasper County,Missouri,121328,1.21328
Jasper County,Mississippi,16383,0.16383
Jasper County,South Carolina,30073,0.30073
Jasper County,Texas,35529,0.35529
Jay County,Indiana,20436,0.20436
Jeff Davis County,Georgia,15115,0.15115
Jeff Davis County,Texas,2274,0.02274
Jefferson County,Georgia,15362,0.15362
Jefferson County,Iowa,18295,0.18295
Jefferson County,Idaho,29871,0.29871
Jefferson County,Illinois,37684,0.37684
Jefferson County,Indiana,32308,0.32308
Jefferson County,Kansas,19043,0.19043
Jefferson County,Kentucky,766757,7.66757
Jefferson County,Missouri,225081,2.25081
Jefferson County,Mississippi,6990,0.0699
Jefferson County,Montana,12221,0.12221
Jefferson County,Nebraska,7046,0.07046
Jefferson County,New York,109834,1.09834
Jefferson County,Ohio,65325,0.65325
Jefferson County,Oklahoma,6002,0.06002
Jefferson County,Oregon,24658,0.24658
Jefferson County,Pennsylvania,43425,0.43425
Jefferson County,Tennessee,54495,0.54495
Jefferson County,Texas,251565,2.51565
Jefferson County,Washington,32221,0.32221
Jefferson County,Wisconsin,84769,0.84769
Jefferson County,Florida,14246,0.14246
Jefferson County,Colorado,582881,5.82881
Jefferson County,Arkansas,66824,0.66824
Jefferson County,Alabama,658573,6.58573
Jefferson County,West Virginia,57146,0.57146
Jefferson Davis County,Mississippi,11128,0.11128
Jefferson Davis Parish,Louisiana,31368,0.31368
Jefferson Parish,Louisiana,432493,4.32493
Jenkins County,Georgia,8676,0.08676
Jennings County,Indiana,27735,0.27735
Jerauld County,South Dakota,2013,0.02013
Jerome County,Idaho,24412,0.24412
Jersey County,Illinois,21773,0.21773
Jessamine County,Kentucky,54115,0.54115
