CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Butler County,Alabama,19448,0.19448
Butler County,Iowa,14439,0.14439
Butler County,Kansas,66911,0.66911
Butler County,Kentucky,12879,0.12879
Butler County,Missouri,42478,0.42478
Butler County,Nebraska,8016,0.08016
Butler County,Ohio,383134,3.83134
Butler County,Pennsylvania,187853,1.87853
Butte County,California,219186,2.19186
Butte County,Idaho,2597,0.02597
Butte County,South Dakota,10429,0.10429
Butts County,Georgia,24936,0.24936
Cabarrus County,North Carolina,216453,2.16453
Cabell County,West Virginia,91945,0.91945
Cache County,Utah,128289,1.28289
Caddo County,Oklahoma,28762,0.28762
Caddo Parish,Louisiana,240204,2.40204
Calaveras County,California,45905,0.45905
Calcasieu Parish,Louisiana,203436,2.03436
Caldwell County,Kentucky,12747,0.12747
Caldwell County,Missouri,9020,0.0902
Caldwell County,North Carolina,82178,0.82178
Caldwell County,Texas,43664,0.43664
Caldwell Parish,Louisiana,9918,0.09918
Caledonia County,Vermont,29993,0.29993
Calhoun County,Mississippi,14361,0.14361
Calhoun County,Alabama,113605,1.13605
Calhoun County,Arkansas,5189,0.05189
Calhoun County,Florida,14105,0.14105
Calhoun County,Georgia,6189,0.06189
Calhoun County,Iowa,9668,0.09668
Calhoun County,Illinois,4739,0.04739
Calhoun County,Michigan,134159,1.34159
Calhoun County,South Carolina,14553,0.14553
Calhoun County,Texas,21290,0.2129
Calhoun County,West Virginia,7109,0.07109
Callahan County,Texas,13943,0.13943
Callaway County,Missouri,44743,0.44743
Calloway County,Kentucky,39001,0.39001
Calumet County,Wisconsin,50089,0.50089
Calvert County,Maryland,92525,0.92525
Camas County,Idaho,1106,0.01106
Cambria County,Pennsylvania,130192,1.30192
Camden County,New Jersey,506471,5.06471
Camden County,North Carolina,10867,0.10867
Camden County,Missouri,46305,0.46305
Camden County,Georgia,54666,0.54666
Cameron County,Pennsylvania,4447,0.04447
Cameron County,Texas,423163,4.23163
Cameron Parish,Louisiana,6973,0.06973
Camp County,Texas,13094,0.13094
Campbell County,Kentucky,93584,0.93584
Campbell County,South Dakota,1376,0.01376
Campbell County,Tennessee,39842,0.39842
Campbell County,Virginia,54885,0.54885
Campbell County,Wyoming,46341,0.46341
Canadian County,Oklahoma,148306,1.48306
Candler County,Georgia,10803,0.10803
Cannon County,Tennessee,14678,0.14678
